Crop_fr,Crop_en,Crop_family,Latin_name,Crop_type_Pennington_2009,Crop_type_RP,Crop_function_CTIFL
Piment,Chile pepper / chili,Solanaceae,Capsicum annuum,Vegetable,Vegetables,Fruiting vegetables
Piment,Chili,Solanaceae,Capsicum annuum L.,Vegetable,Vegetables,Fruiting vegetables
,Chinaberrytree,Meliaceae,Melia azedarach L.,,,
Chou chinois,Chinese cabbage,Brassicaceae,Brassica rapa subsp. Pekinensis,Vegetable,Vegetables,Leaf vegetables
Ciboulette,Chive,Alliaceae,Allium schoenoprasum L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Ciboulette,Chives,Alliaceae,Allium schoenoprasum L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Chrysanthème ,Chrysanthemum,Asteraceae ,Chrysanthemum,,"Medicinal, Aromatic Plants, Flowers & Others",
Chicorée,Cichorium ,Asteraceae,Cichorium endivia L.,Vegetable,Vegetables,Leaf vegetables
Chicoree frisee,Cichorium ,Asteraceae,Cichorium endivia L.,Vegetable,Vegetables,Leaf vegetables
Frisée,Cichorium ,Asteraceae,Cichorium endivia L.,,Vegetables,
Agrumes (en général),Citrus fruits (in general),Rutaceae,Citrus L.,Fruit,Fruits,
Trèfle,Clover,Fabaceae,Trifolium (genus),,"Medicinal, Aromatic Plants, Flowers & Others",
Haricot de guar,Cluster bean,Fabaceae,Cyamopsis tetragonoloba L. Taubert,Vegetable,Vegetables,Leguminous vegetables
,Coco yam,Araceae,Colocasia esculenta (L.) Schott,,,
Café,Coffee,Rubiaceae,Coffea L.,,,
Café,Coffee arabica,Rubiaceae,Coffea arabica L.,,Fruits,
Café,Coffee robusta,Rubiaceae,Coffea canephora Pierre ex Froehner,,Fruits,
Chou kale,Collard,Brassicaceae,Brassica oleracea L. var. acephala DC.,Vegetable,Vegetables,Leaf vegetables
Consoude,Comfrey,Boraginaceae,Symphytum officinale,,"Medicinal, Aromatic Plants, Flowers & Others",
Coreopsis,Coreopsis,Asteraceae ,Coreopsis,,"Medicinal, Aromatic Plants, Flowers & Others",
Coriandre,Coriander,Apiaceae,Coriandrum sativum L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Niébé,Cowpea,Fabaceae,Vigna unguiculata L. Walp.,,Vegetables,
Crosne,Crosne,Lamiaceae,Stachys affinis,,Vegetables,
Crotalaire,Crotalaria,Fabaceae,Crotalaria juncea L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Concombre,Cucumber,Cucurbitaceae ,Cucumis sativus L.,Vegetable,Vegetables,Fruiting vegetables
Cucurbitaceae (fam.),Cucurbitaceae (fam.),Cucurbitaceae ,,,Vegetables,
Cumin,Cumin,Apiaceae,Cuminum cyminum,,"Medicinal, Aromatic Plants, Flowers & Others",
Salade Chicoree frisee ,Curly endive,Asteraceae,Cichorium endivia var. crispum,Vegetable,Vegetables,Leaf vegetables
,Dactyladenia barteri,Chrysobalanaceae,Dactyladenia barteri,,,
Dahlia,Dahlia,Asteraceae,Dahlia pinnata,,"Medicinal, Aromatic Plants, Flowers & Others",
Pissenlit,Dandelion,Asteraceae,Taraxacum officinale L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Dauphinelle,Delphinium,Ranunculaceae,Delphinium L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Digitale,Digitalis,Scrophulariaceae,Digitalis purpurea L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Aneth,Dill,Apiaceae,Anethum graveolens L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Blé dur,Durum wheat,Poaceae,Triticum durum Desf.,,,
Pastel des teinturiers,Dyer's woad,Brassicaceae,Isatis tinctoria L.,,,
,Eastern cottonwood,Salicaceae,Populus deltoides W. Bartram ex Marshall,,,
Aubergine,Eggplant,Solanaceae,Solanum melongena L.,Vegetable,Vegetables,Fruiting vegetables
Orme,Elm,Ulmaceae,Ulmus L.,,Trees (woody perennials),
Endive,Endive,Asteraceae,Cichorium endivia,Vegetable,Vegetables,Leaf vegetables
Salade Chicoree scarole ,Escarole,Asteraceae,Cichorium endivia var. latifolia,Vegetable,Vegetables,Leaf vegetables
Scarole,Escarole,Asteraceae,Cichorium endivia var. latifolia,Vegetable,Vegetables,Leaf vegetables
Eucalyptus,Eucalyptus,Myrtaceae,Eucalyptus torelliana F.V. Mueller,,,
Fève & Fèverole,Fava bean,Fabaceae,Vicia faba L.,Vegetable,Vegetables,Leguminous vegetables
Feve,Fava_bean,Fabaceae,Vicia faba L.,Vegetable,Vegetables,Leguminous vegetables
Féverole,Fava_bean,Fabaceae,Vicia faba L.,,Vegetables,
Fenouil,Fennel,Apiaceae,Foeniculum vulgare Mill.,Vegetable,Vegetables,Leaf vegetables
Fenugrec,Fenugreek,Fabaceae,Trigonella foenum-graecum L.,,Vegetables,
